episode_uid,season,episode_number,key_status,title,sources,parked_reason
S02E001,2,1,provisional,Genesis Science Report | Dragon Tales + Gene Splicing S2 Ep1,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E004,2,4,provisional,Gene Duplication Theory + Living Fossil Revelations | Genesis Science Report S02 EP004,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E006,2,6,provisional,Kangaroos After the Flood + Fossil Bats | Genesis Science Report with David Rives | S02 Ep006,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E007,2,7,provisional,Flood Legends + Flying Lizards | Genesis Science Report with David Rives | S02 Ep007,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E008,2,8,provisional,Tuskless Elephants Evidence for the Bible? S2 EP 08 l David Rives on Genesis Science Report,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E009,2,9,provisional,Big Bang Busted!? l Genesis Science Report with David Rives l S02 Ep009,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E010,2,10,provisional,Creation Secrets Buried in the Earth | Genesis Science Report with David Rives | S02 Ep. 10,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E011,2,11,provisional,The Global Flood & Modern Science | Genesis Science Report with David Rives | S02 Ep. 11,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E012,2,12,provisional,Giant Birds and Extraterrestrial Life | Genesis Science Report with David Rives | S02 Ep. 12,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E013,2,13,provisional,"Collagen, Bugs and Climate Change | Genesis Science Report with David Rives | S02 Ep. 13",youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E014,2,14,provisional,Revealing Wonders of the Past | Genesis Science Report with David Rives | S02 Ep. 14,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E015,2,15,provisional,Colonizing Mars | Genesis Science Report with David Rives | S02 Ep. 15,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E016,2,16,provisional,A Worldly Legacy or Biblical Truth? | Genesis Science Report with David Rives | S02 Ep. 16,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E017,2,17,provisional,Dinosaurs to Birds | Genesis Science Report with David Rives | S02 Ep. 17,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
