episode_uid,slide_order,slide_label,l3_line1,l3_line2,template_used,segment,media_refs,library,rel_path,source,confidence,needs_human,notes
,1,,,David Rives Ministries | 501C3 Non-Profit | 931-212-7990Donate Today to Support Our Work,lower_third,other,GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/Closing_Comments_L3RDs-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,1,,GENESIS SCIENCE REPORT,"Davidrives.com/give | 931-212-7990 
 | 501C3 Non-Profit",lower_third,other,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/Closing_Comments_L3RDs.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,1,,GSR One-on-one,WHAT LIVING ANIMALS SUGGEST ABOUT GIANT REPTILES,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,2,,GSR One-on-one,SLOWER GROWTH FITS LARGE BODY SIZE PATTERNS,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,3,,GSR One-on-one,SLOW GROWTH ALIGNS WITH A PRE-FLOOD BIOSPHERE,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,4,,GSR One-on-one,EARLIER STUDIES ASSUMED RAPID DINOSAUR GROWTH,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,5,,GSR One-on-one,SAUROPOD STUDIES SHOW MUCH LONGER MATURITY RATES,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,6,,GSR One-on-one,NEW STUDY REVISES T. REX GROWTH TIMELINE UPWARD,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,7,,GSR One-on-one,APATOSAURUS ESTIMATES REVISED TO DECADES LONGER,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
,8,,GSR One-on-one,NEW DATA PUSHES T. REX MATURITY TO SEVERAL DECADES,lower_third,interview_1,GSR_2024_L3rd_Text_Box_Looping_v05_000030_4K_2997_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; VGSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov; GSR_2025_L3rd_Curved_Text_Box_FULL_Looping_v09_000030_4K_2997_PreMultiplied_Pr4444.mov,GSR_LIBRARY,Libraries/GSR_LIBRARY/FEBRUARY_SHOW_A_INTERVIEW_1_L3RDS-1.pro,propres_ssd,medium,True,episode_uid needs schedule join; text verbatim from .pro
