name,asset_type,is_loop,duration_sec,resolution,server_file_path,file_hash,reuse_count,source,confidence,needs_human,notes
CTN_Closer_ZOOMOUT_ENDING_FOR_LIVE_TO_TAPE_ProPresenter_4K_2997_000014_Pr422HQ.mov,clip_with_audio,false,14.01,3840x2160,Media/Assets/CTN_Closer_ZOOMOUT_ENDING_FOR_LIVE_TO_TAPE_ProPresenter_4K_2997_000014_Pr422HQ.mov,a3f90529cb6e7ac02e537ed1358c406a4cea868aa5cf0f6beb46c91bc5ab6440,6,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
CTN_L3rd_Blank_00000910_4K_2997_Premultiplied_Pr4444.mov,clip_with_audio,false,9.34,3840x2160,Media/Assets/CTN_L3rd_Blank_00000910_4K_2997_Premultiplied_Pr4444.mov,7e5cfba0fdcbefab1c77b17a1afc07a9e3b93dfc363a4a695bf1f114ea9f877a,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
CTN_L3rd_FollowUs_FINAL_000014_4K_2997_Pr4444.mov,clip_with_audio,false,14.01,3840x2160,Media/Assets/CTN_L3rd_FollowUs_FINAL_000014_4K_2997_Pr4444.mov,b862176c5bb743505e42c5b7d25b4dc0255b1dfb90c59fb08889172de212c5ae,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
CTN_L3rd_Donate_FINAL_000014_4K_2997_Pr4444.mov,clip_with_audio,false,14.01,3840x2160,Media/Assets/CTN_L3rd_Donate_FINAL_000014_4K_2997_Pr4444.mov,f323953ea2e6a6f28f4bddac6b055f70d374f621d5341b1f2320fef2f5faff1e,6,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
CTN_OPENER_FINAL_000020_4K_2997_Pr422HQ.mov,clip_with_audio,false,20.02,3840x2160,Media/Assets/CTN_OPENER_FINAL_000020_4K_2997_Pr422HQ.mov,9732af8dc091bc9615ff942c06806a3e93ec715ccc9d29862d0abc431c72a3c8,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
CTN_Closer_BG_and_VO_ONLY_FOR_ProPresenter_4K_2997_000049_Pr422HQ.mov,clip_with_audio,false,49.15,3840x2160,Media/Assets/CTN_Closer_BG_and_VO_ONLY_FOR_ProPresenter_4K_2997_000049_Pr422HQ.mov,9e6be57a8a544f2abb270ecc92f3ef88a268d2a9734b409c971751bc75f0de0a,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
CTN_OPENER_NOAUDIO_000017_4K_2997_Pr422HQ.mov,clip_with_audio,false,17.25,3840x2160,Media/Assets/CTN_OPENER_NOAUDIO_000017_4K_2997_Pr422HQ.mov,a918d5f57bcf403e39a3b80a5de1efe9374eb16f48769ddac38e7b52b9c5370a,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
creationconferencebannerwithqrcode.png,graphic,false,,2420x900,Media/Assets/creationconferencebannerwithqrcode.png,1a2ed26a47eea8638f57278f7f11015347869559a7b668050d804e28732d3ada,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Welcome Pastors 16x9.png,graphic,false,,1536x864,Media/Assets/Welcome Pastors 16x9.png,485b733d2a4a5bbb4626ea497f4d7bcea681355553f646f502a620ceb18ee402,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
IMG_4030.jpeg,graphic,false,,1103x1426,Media/Assets/IMG_4030.jpeg,79fd01b08432b9a3b1e2f89433d71a68ad14016d83cb0c4bb60394db007d5627,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
