season,episode,segment,file_name,url
3,22,interview_1,S03 Ep022 Interview 1 Tim Clarey,https://docs.google.com/document/d/17N9JfyN3P3CKGqB7llgNGWa8UNiv6xwpJ2MPrTBgmcE/edit
3,24,interview_1,S03 Ep024 Interview 1 Carl Werner,https://docs.google.com/document/d/1Fah4cLjyea-d7MLg952-O97M76jspKcfdYqFJrl6Dsk/edit
3,21,interview_1,S03 Ep021 Interview 1 David Legates,https://docs.google.com/document/d/1nYhPKmCb5_HnY48D3fVP8f2cxOqtrs4UAZIdqCiHZd4/edit
3,23,interview_1,S03 Ep023 Interview 1: Andrew Fabich,https://docs.google.com/document/d/12DI_rtWtDvVWnI2vm3KaZ6FU07qivTvGZxbbAfHqhQc/edit
3,23,interview_2,S03 Ep023 Interview 2 Dan Janzen,https://docs.google.com/document/d/1x2V4WfVCTKWZLwmH_YC46Rr9GvtPkcGiXJ4FMPGIMjE/edit
3,22,interview_2,S03 Ep022 Interview 2: Jerry Bergman,https://docs.google.com/document/d/1Lom06zwAxL8iXhFQm6OVsSjxvU0l0djnx97jwbr_Jek/edit
3,25,interview_2,S03 Ep025 Interview 2: David Coppedge,https://docs.google.com/document/d/1Hl4unNn2CYlCyQsuzIUjJEz0AXp6tdSZltU-GI_kBqo/edit
3,24,interview_2,S03 Ep024 Interview 2: Dr. Ming Wang,https://docs.google.com/document/d/1xxOoZrTuYhB9MMQFyJ2zVzSNPYfNharNb0icCcsT3bQ/edit
3,18,other,GSR_S03_Ep018_Run_Of_Show,https://docs.google.com/document/d/1UvwwRKW_c7JL6dJ7Ix-Pj4fdvYcJAJSWmDmnJ0YXiE4/edit
3,17,other,GSR_S03_Ep017_Run_Of_Show,https://docs.google.com/document/d/1910SOzm-WTkoQpd7bGxlkPKdYvMlGaH4akW6KDyeLeg/edit
