episode_uid,platform,delivery_mechanism,url,platform_title,platform_description,published_at,published_at_raw,view_count,is_published,downstream_platforms,source,confidence,needs_human
S02E001,rumble,direct_upload,https://rumble.com/v74062q-genesis-science-report-dragon-tales-gene-splicing-s2-ep1.html,Genesis Science Report | Dragon Tales + Gene Splicing S2 Ep1,"GSR IS Back!!!!Show more Finally, you can get the truth you’ve been waiting for with a relevant, Christian perspective.
During these weekly news broadcasts, David presents a thought-provoking opening monologue detailing breaking news in science and social issues and is also joined by a friend and colleague to shed light on truths related to the validity of the Word of God, and new scientific discoveries.
SUBSCRIBE: https://www.youtube.com/channel/UCNZS...
Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/cont...
If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
[email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world
connect. David believes that science not on proves the Bible, but that it also brings us into a
deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE! Show less",2026-01-07,20260107,51,true,[],rumble,medium,false
S02E002,rumble,direct_upload,https://rumble.com/v70ttui-ancient-civilizations-and-creation-under-attack-genesis-science-report-s2-e.html,Ancient Civilizations and Creation Under Attack | Genesis Science Report S2 Ep2,"Welcome to the Genesis Science Report! Join David Rives as he dives into archaeology's toughest questions, tackles whether God and evolution can coexist, and showcases the awe-inspiring survival design of the Dead Leaf Butterfly in Kid's Corner.Show more Explore Dr. Dan Biddle's analysis of America's declining faith, hear updates from ministry efforts (including a summer partnership with Hope Kids, supporting terminally ill children), and check out a 25-pound meteorite discovery from Argentina. Plus, don’t miss a fascinating one-on-one with Dr. Carl Werner, who reveals that Neanderthals did live in homes.
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact: [email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #genesissciencereport #faithandevolution Show less",2025-10-27,20251027,107,true,[],rumble,medium,false
S02E004,rumble,direct_upload,https://rumble.com/v70tvma-gene-duplication-theory-living-fossil-revelations-genesis-science-report-s0.html,Gene Duplication Theory + Living Fossil Revelations | Genesis Science Report S02 EP004,"Join The Genesis Science Report as David Rives and his guests critically examine mainstream science through a biblical lens. Explore the flaws in evolutionary claims like gene duplication and ancient timelines, question academic biases, and uncover the truth about ""living fossils."" From volcanic moons to genetic origins, this episode challenges the status quo while pointing to the undeniable evidence of creation. Engage your curiosity, embrace skepticism, and discover how science confirms the timeless truths of Scripture!Show more Chapters:
0:00: Introduction
0:38: Orwell's Warning: Exposing Layers of Deceit in Modern Academia
9:43: Genesis Science Q&A - Are Adam and Eve our Sole Genetic Ancestors?
12:32: Featured Resource - More on Genetics and Human History
16:28: Viewer Voices
23:46: Exploring the Dawn of Complex Life with Dr. Jerry Bergman
33:16: Kids Corner - Exploring Trilobites
35:01: From Moral relativism to Moral Decay: How ""Anything Goes"" Becomes ""Nothing Matters.""
43:46: Living Fossils - Evidence Against Evolution or Coincidence? with Dr Carl Werner
51:36: Exploring IO: Jupiter's Most Fascinating Moon with David Coppedge, Former Systems Lead, NASA's JPL
57:13: Closing Remarks by David Rives
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact: [email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #moraldecay #humangenetics Show less",2025-10-31,20251031,123,true,[],rumble,medium,false
S02E005,rumble,direct_upload,https://rumble.com/v70whdm-eugenics-racism-biblical-lifespan-research-genesis-science-report-s02-ep005.html,Eugenics = Racism + Biblical Lifespan Research | Genesis Science Report S02 EP005,"Join David Rives on this exciting episode of the Genesis Science Report as we explore the intersection of faith and science! Discover the chilling history and moral fallout of eugenics, its ties to Darwinian evolution, and the heroes who stood firm on biblical truths. Learn from Dr. Jake Hebert about groundbreaking research into pre-Flood human longevity and the scientific evidence that supports the extraordinary lifespans described in Genesis. Then, dive into the cosmos with Spike Psarris as he unpacks the ""Rare Earth"" hypothesis and why Earth’s unique conditions point to intentional design.Show more Plus, don’t miss the Kids’ Corner, where we explore the incredible properties of water, and Viewer Voices, sharing inspiring stories from our ministry community. With insights that affirm the truth of God’s Word, this episode is packed with science, faith, and inspiration!
Chapters:
00:00 Introduction
00:53 David’s Thoughts: Eugenics and its Implications
11:03 Q&A: Predatory Traits and the Post-Fall World
16:10 Kids Corner: The Incredible Science of Water
22:04 One-on-One: Exploring Pre-Flood Longevity
36:21 Viewer Voices: Inspiration and Discovery
37:37 Genesis Science Minute: Did Columbus Prove the Earth Isn't Flat?
39:03 Ministry Update: Creation Conference & Wonders of Africa Tour
41:13 The Heavens Declare: The Mystery of Leviathan
44:32 One on One : Rare Earth Hypothesis and Intelligent Life
57:25 Closing Remarks
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
[email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #eugenics #racism Show less",2025-11-03,20251103,150,true,[],rumble,medium,false
S02E006,rumble,direct_upload,https://rumble.com/v70wks4-kangaroos-after-the-flood-fossil-bats-genesis-science-report-with-david-riv.html,Kangaroos After the Flood + Fossil Bats | Genesis Science Report with David Rives | S02 Ep006,"Join David Rives on this episode of The Genesis Science Report as we dive into his thoughts on the legacy of Eugenics, groundbreaking paleontological discoveries and their connections to Scripture, and more. Dr. Carl Werner discusses 'living fossils,' like modern-looking ants found alongside dinosaurs, while John Mackay analyzes exceptionally preserved bat fossils from Wyoming, revealing insights into ancient ecosystems. Plus, David answers a viewer's question about post-Flood animal migration, highlights a resource on the geological impacts of the Flood, and explores the wonders of pyrite in our Kids' Corner. Don't miss this fascinating journey into science, faith, and the marvels of God's creation!Show more 0:00: Opening Thoughts
0:31: David's Thoughts: The Legacy of Eugenics
9:52: Q&A: How Did Animals Spread Post-Flood?
14:14: Kids' Science Corner: The Truth About Fool's Gold
19:19: Living Fossils with Dr. Carl Werner
32:00: Viewer Voices
34:09: Genesis Science Minute: Herschel's Heavenly Discoveries
35:12: Ministry Update: Sharing God's Wonders
37:14: Heavens Declare: Darwin's Finches - Design or Evolution?
42:56: Fossil BATS Challenge Evolution with John Mackay
57:08: Closing Remarks
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact: [email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #livingfossils #ancientecosystems Show less",2025-11-05,20251105,210,true,[],rumble,medium,false
S02E007,rumble,direct_upload,https://rumble.com/v70x1b6-flood-legends-flying-lizards-genesis-science-report-with-david-rives-s02-ep.html,Flood Legends + Flying Lizards | Genesis Science Report with David Rives | S02 Ep007,"Join David Rives on this episode of the Genesis Science Report as we examine groundbreaking claims about dinosaur footprints spanning continents and their implications for a biblical worldview. We welcome meteorologist and creation science expert Michael Oard to analyze whether these findings align with a global Flood model.Show more Later, geologist Dr. Andrew Snelling discusses the Cambrian Explosion and what recent fossil discoveries in China reveal about Earth's history from a creationist perspective. From the evidence of rapid burial to the global distribution of fossils, we uncover insights into the geologic record that challenge evolutionary assumptions.
This episode is packed with scientific exploration and faith-based insights that you won’t want to miss! Stay tuned and discover how the heavens truly declare the glory of God.
Chapters:
0:00 Beginning of Episode
0:53 David's Thoughts: Global Flood Myths
8:31 Ad Break
11:27 Q&A: Natural Selection
16:36 Kids Corner: Flying Lizard Facts
19:08 Ad Break
22:07 Dinosaur Tracks: one-on-one with Michael Oard
35:22 Ad Break
37:41 Viewer Voices
38:52 Genesis Science Minute: The Arctic Tern's Journey
40:06 Ministry Update: Wonders Center
41:11 The Heavens Declare: Rapid Coal Formation
45:40 Ad Break
48:22 Cambrian Explosion: Dr Andrew Snelling
57:06 Final Thoughts and Encouragement
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
[email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #dinosaurfossils #cambrian Show less",2025-11-07,20251107,180,true,[],rumble,medium,false
S02E008,rumble,direct_upload,https://rumble.com/v70x1te-tuskless-elephants-evidence-for-evolution-genesis-science-report-s02-ep008.html,Tuskless Elephants Evidence for Evolution? | Genesis Science Report S02 EP008,"In this episode of the Genesis Science Report, join David Rives as he explores the intersection of science and politics, uncovering truths about biased policies and their impact on scientific integrity. Dive into a thought-provoking discussion with Dr. Randy Guliuzza about elephants in Africa—are tuskless elephants evolving, or evidence for the Bible? Then, journey into geology with Dr. Tim Clarey as he sheds light on groundbreaking findings about banded iron formations, challenging conventional timelines.Show more Discover the wonders of quartz crystals in Kids Corner, hear inspiring testimonials, and reflect on the beauty of creation through the lens of biblical truth. Don’t miss this week’s Genesis Science Minute, unraveling the mystery of soft tissue in dinosaur fossils, and a special segment on the iconic Stonehenge in “The Heavens Declare.”
Chapters:
0:00: Opening Words
0:45: David's Thoughts - Truth and Politics
7:31: Ad Break
10:25: Q&A - Creation Question
14:58: Kid's Corner - Crystal Wonders
17:51: Ad Break
20:15: Dr. Randy Guliuzza - Tuskless Elephants
32:09: Ad Break
34:35: Viewer Voices
36:30: Genesis Science Minute: Soft Tissue Fossils
37:45: Ministry Update - Community Impact
39:30: The Heavens Declare - Stonehenge Secrets
43:15: Ad Break
45:56: Dr. Tim Clarey - Iron Formation Insights
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week:
https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact:
[email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into
conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood,
Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #elephants #iron Show less",2025-11-10,20251110,59,true,[],rumble,medium,false
S02E009,rumble,direct_upload,https://rumble.com/v70x2u6-big-bang-busted-l-genesis-science-report-with-david-rives-l-s02-ep009.html,Big Bang Busted!? l Genesis Science Report with David Rives l S02 Ep009,"In this episode of the Genesis Science Report, David Rives explores the intricate design behind flight mechanics in birds, insects, and bats with insights from Professor Andy McIntosh. Delve into the groundbreaking discoveries that highlight universal patterns and challenge conventional models of evolution.Show more Astrophysicist David Coppedge joins the discussion to present new evidence about the shocking age of Saturn's rings, raising questions about the assumptions of traditional planetary science. Plus, discover how Jupiter's heat output supports a recent creation model in the Genesis Q&A segment.
From space exploration to the natural world, this episode demonstrates how science and faith converge to reveal the handiwork of an intelligent Creator. Stay tuned for expert interviews, thought-provoking discussions, and engaging viewer questions.
Chapters:
0:00 - Opening
0:51 - David's Thoughts: NASA and Faith
6:16 - Ad Break
8:13 - Q&A: Jupiter's Heat
12:16 - Kids Corner: Spider Spotlight
15:32 - Ad Break
18:18 - Dr. Andy McIntosh: Flight Design
29:03 - Ad Break
31:23 - Viewer Voices
32:59 - Science Minute: DNA Design
34:11 - Ministry Update
36:55 - The Heavens Declare: Monkey Marvels
42:49 - Ad Break
45:14 - Dr. David Coppedge: Saturn's Rings
57:07 - Closing
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact: [email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not only proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #flightmechanics #saturnrings Show less",2025-11-12,20251112,81,true,[],rumble,medium,false
S02E010,rumble,direct_upload,https://rumble.com/v70x3bi-creation-secrets-buried-in-the-earth-genesis-science-report-with-david-rive.html,Creation Secrets Buried in the Earth | Genesis Science Report with David Rives | S02 Ep. 10,"In this episode of the Genesis Science Report, David Rives explores ancient stone structures like the Menga Dolmen, revealing advanced engineering that defies evolutionary assumptions.Show more Dr. Carl Werner exposes misrepresentations of Homo erectus, while Joseph Hubbard discusses rapid fossilization in the Wessex Formation and evidence for a global flood.
Joseph Hubbard talks with David about an exciting Ankylosaurus discovery in England.
Plus, learn about dragonfly design in the Kids' Corner segment and the incredible echolocation abilities of bats and dolphins in this week's The Heavens Declare segment.
Don’t miss this fascinating look at science and faith!
SUBSCRIBE: https://www.youtube.com/channel/UCNZS3IEQ
Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/contributions/
If you are interested in arranging interviews with David Rives, and/or appearances, Contact: [email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not on proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #engineering #fossils Show less",2025-11-14,20251114,69,true,[],rumble,medium,false
S02E011,rumble,direct_upload,https://rumble.com/v70x3sc-the-global-flood-and-modern-science-genesis-science-report-with-david-rives.html,The Global Flood & Modern Science | Genesis Science Report with David Rives | S02 Ep. 11,"In this episode of the Genesis Science Report, David Rives takes a deep dive into the global flood narrative, exploring its significance in both Scripture and history. He examines how the ancient accounts of a worldwide deluge are echoed across cultures and provides compelling evidence that supports its historical reality.Show more Biology expert Dr. Carl Werner joins the discussion to reflect on a milestone paleontological discovery that has influenced scientific thought for over fifty years. Dr. Jerry Bergman breaks down a new study on lampreys and their potential role in challenging traditional evolutionary models.
From the Genesis Flood to groundbreaking research in biology, this episode showcases how science and faith come together to point to the handiwork of an intelligent Creator. Stay tuned for expert insights, thought-provoking discussions, and engaging viewer questions.
Chapters:
0:00 - Opening
0:50 - Genesis Flood Overview
7:50 - Ad Break
10:26 - Q&A
13:26 - Featured Resource
14:42 - Kids' Corner: Where Does That Flavor Come From?
17:30 - Ad Break
19:48 - Dr. Carl Werner: Lucy's Legacy
33:26 Ad Break
35:41 - Viewer Voices
37:27 - Science Minute
38:40 - Ministry Update:
41:22 - The Heavens Declare: Guardian of the Savannah
45:34 - Ad Break
47:47 - Dr. Jerry Bergman: Lampreys Under the Microscope
56:51 - Closing
SUBSCRIBE: https://www.youtube.com/channel/UCNZS...
Consider a tax-deductible donation to help us continue to make these videos each week: https://davidrivesministries.org/cont...
If you are interested in arranging interviews with David Rives, and/or appearances, Contact: [email protected] or call (931)212-7990
David Rives has committed his life and ministry to the study of how God’s word and our world connect. David believes that science not only proves the Bible, but that it also brings us into a deeper relationship with our Creator. Join us at David Rives Ministries as we dive into conversations of Dinosaurs and Fossils, Science and the Bible, The Worldwide Flood, Intelligent Design vs. Evolution, Young and Old Earth Creationism, and SO MUCH MORE!
#DavidRives #GlobalFlood #Lampreys Show less",2025-11-17,20251117,112,true,[],rumble,medium,false
